Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,7268,4696,298.3,360.0,0.0,Semiurban,N
LP001003,Female,No,0,Graduate,No,11189,0,359.3,360.0,0.0,Rural,N
LP001004,Male,Yes,3+,Not Graduate,No,2267,6623,329.7,360.0,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,No,2564,0,158.4,360.0,1.0,Semiurban,Y
LP001006,Male,No,0,Graduate,No,8189,2709,370.8,360.0,1.0,Rural,Y
LP001007,Male,No,0,Graduate,Yes,5233,2787,279.1,360.0,1.0,Rural,Y
LP001008,Male,Yes,1,Not Graduate,No,6191,1144,278.9,360.0,1.0,Urban,N
LP001009,Female,Yes,0,Graduate,No,5455,0,185.5,360.0,0.0,Rural,N
LP001010,Male,Yes,2,Graduate,No,5621,4893,362.7,360.0,1.0,Rural,Y
LP001011,Male,Yes,0,Not Graduate,No,2006,423,172.1,360.0,1.0,Urban,Y
LP001012,Male,Yes,3+,Not Graduate,No,8336,0,233.5,180.0,1.0,Semiurban,Y
LP001013,Female,Yes,0,Not Graduate,No,8971,348,294.7,360.0,1.0,Rural,Y
LP001014,Female,Yes,2,Not Graduate,No,3875,1016,277.5,360.0,1.0,Urban,Y
LP001015,Male,No,2,Graduate,No,4332,6250,249.8,360.0,1.0,Semiurban,Y
LP001016,Male,Yes,2,Graduate,No,1774,1329,181.2,180.0,1.0,Urban,Y
LP001017,Male,Yes,2,Graduate,No,6054,0,300.7,360.0,1.0,Urban,Y
LP001018,Male,No,2,Not Graduate,Yes,6268,1739,320.0,360.0,1.0,Rural,N
LP001019,Male,No,1,Graduate,No,4284,0,220.8,360.0,1.0,Urban,Y
LP001020,Male,Yes,0,Graduate,No,8730,554,356.2,360.0,1.0,Semiurban,N
LP001021,Male,Yes,0,Graduate,Yes,3639,957,257.4,360.0,1.0,Urban,Y
LP001022,Male,Yes,3+,Graduate,No,6240,5699,348.0,360.0,1.0,Urban,Y
LP001023,Male,Yes,1,Graduate,No,2411,0,157.7,360.0,1.0,Semiurban,Y
LP001024,Male,Yes,2,Not Graduate,No,4384,0,203.9,480.0,1.0,Urban,Y
LP001025,Male,Yes,0,Not Graduate,No,4005,839,274.9,360.0,0.0,Rural,N
LP001026,Male,Yes,0,Graduate,No,5090,8665,415.9,360.0,1.0,Semiurban,N
LP001027,Male,Yes,0,Graduate,Yes,3562,6100,258.0,360.0,1.0,Urban,N
LP001028,Male,Yes,1,Graduate,Yes,4109,3213,324.7,180.0,1.0,Semiurban,Y
LP001029,Male,Yes,0,Graduate,No,7299,1131,295.7,240.0,0.0,Semiurban,N
LP001030,Male,Yes,0,Not Graduate,No,3421,0,152.3,360.0,1.0,Urban,Y
LP001031,Male,Yes,0,Graduate,No,1696,0,136.9,360.0,0.0,Semiurban,N
LP001032,Male,Yes,0,Graduate,No,12704,0,352.3,360.0,1.0,Rural,Y
LP001033,Male,No,1,Not Graduate,Yes,10187,0,385.2,360.0,1.0,Semiurban,Y
LP001034,Male,Yes,0,Graduate,No,2048,3698,212.7,180.0,0.0,Rural,N
LP001035,Female,No,2,Graduate,No,6726,939,327.4,360.0,1.0,Semiurban,Y
LP001036,Female,No,0,Graduate,No,3288,5237,249.8,360.0,1.0,Rural,N
LP001037,Female,Yes,0,Graduate,No,5208,0,186.3,360.0,1.0,Urban,Y
LP001038,Male,Yes,0,Graduate,No,5305,0,288.3,360.0,1.0,Urban,Y
LP001039,Male,Yes,0,Graduate,No,3863,0,203.2,360.0,1.0,Semiurban,Y
LP001040,Male,Yes,0,Graduate,No,2778,0,154.8,360.0,1.0,Urban,Y
LP001041,Male,No,0,Not Graduate,No,2938,1948,224.0,360.0,1.0,Semiurban,Y
LP001042,Male,Yes,1,Graduate,No,2566,0,191.8,360.0,1.0,Rural,Y
LP001043,Male,Yes,0,Graduate,Yes,2699,666,171.6,360.0,0.0,Urban,N
LP001044,Male,Yes,1,Graduate,No,4271,0,182.3,360.0,1.0,Urban,Y
LP001045,Female,Yes,2,Graduate,No,2894,11592,324.2,36.0,1.0,Rural,Y
LP001046,Male,No,2,Graduate,Yes,6695,551,250.8,300.0,0.0,Semiurban,N
LP001047,Male,Yes,0,Graduate,No,10854,0,382.4,360.0,0.0,Rural,N
LP001048,Male,Yes,0,Graduate,No,3139,3128,253.9,360.0,1.0,Urban,Y
LP001049,Male,No,0,Not Graduate,No,5134,2177,242.9,360.0,1.0,Urban,Y
LP001050,Male,Yes,0,Graduate,No,6001,1846,243.5,360.0,1.0,Urban,Y
LP001051,Male,Yes,0,Graduate,No,5902,0,230.4,360.0,1.0,Urban,Y
LP001052,Female,Yes,0,Not Graduate,Yes,4654,2351,327.2,360.0,1.0,Semiurban,Y
LP001053,Male,Yes,0,Graduate,No,6943,1176,271.6,360.0,0.0,Rural,N
LP001054,Female,Yes,1,Graduate,Yes,5939,431,317.8,360.0,1.0,Urban,Y
LP001055,Female,Yes,1,Graduate,Yes,2116,4611,264.7,360.0,1.0,Urban,Y
LP001056,Male,Yes,0,Graduate,No,7491,3908,295.6,360.0,1.0,Rural,Y
LP001057,Female,Yes,0,Graduate,Yes,7573,2071,249.8,360.0,1.0,Semiurban,Y
LP001058,Male,Yes,0,Graduate,No,2813,2345,229.1,360.0,1.0,Rural,N
LP001059,Male,No,0,Not Graduate,No,4549,4238,334.1,360.0,1.0,Rural,Y
LP001060,Male,Yes,0,Graduate,No,6700,2337,377.9,360.0,1.0,Rural,N
LP001061,Male,Yes,0,Graduate,Yes,3922,3762,225.7,360.0,1.0,Rural,N
LP001062,Male,Yes,0,Graduate,No,8465,1622,265.7,180.0,1.0,Semiurban,N
LP001063,Male,No,0,Graduate,No,18367,5005,547.4,360.0,1.0,Semiurban,N
LP001064,Female,Yes,0,Graduate,No,2775,0,154.0,360.0,1.0,Rural,N
LP001065,Male,Yes,0,Graduate,No,1941,2288,180.6,360.0,0.0,Semiurban,N
LP001066,Male,No,0,Not Graduate,No,5336,821,200.8,360.0,1.0,Semiurban,Y
LP001067,Male,No,1,Graduate,No,6856,2442,244.2,360.0,0.0,Rural,N
LP001068,Male,No,2,Graduate,No,3871,1116,258.6,360.0,1.0,Semiurban,Y
LP001069,Female,Yes,0,Graduate,No,10635,0,278.6,360.0,0.0,Rural,N
LP001070,Male,Yes,0,Graduate,No,1991,1129,178.8,360.0,0.0,Rural,N
LP001071,Male,No,0,Not Graduate,No,6739,0,279.8,360.0,1.0,Rural,N
LP001072,Male,No,1,Not Graduate,No,3091,8842,343.3,180.0,1.0,Rural,N
LP001073,Male,Yes,1,Graduate,No,12476,5074,336.6,180.0,1.0,Rural,Y
LP001074,Male,Yes,0,Graduate,No,14698,7663,549.6,360.0,0.0,Rural,N
LP001075,Female,Yes,3+,Graduate,No,2807,0,133.3,360.0,1.0,Urban,Y
LP001076,Male,No,0,Not Graduate,No,3197,2100,265.1,360.0,1.0,Semiurban,Y
LP001077,Male,Yes,0,Graduate,Yes,7448,0,331.4,360.0,1.0,Rural,Y
LP001078,Male,Yes,1,Graduate,No,3525,0,187.0,360.0,0.0,Rural,N
LP001079,Male,Yes,2,Graduate,No,4327,0,217.3,360.0,1.0,Urban,Y
LP001080,Male,Yes,1,Graduate,No,4515,0,216.1,360.0,1.0,Semiurban,Y
LP001081,Male,Yes,2,Graduate,Yes,1500,1514,169.3,360.0,1.0,Urban,Y
LP001082,Female,Yes,0,Graduate,No,4410,4221,355.9,360.0,1.0,Semiurban,Y
LP001083,Male,Yes,2,Graduate,No,2939,0,208.2,360.0,1.0,Rural,Y
LP001084,Male,Yes,0,Not Graduate,No,3308,10022,346.8,360.0,1.0,Rural,Y
LP001085,Male,Yes,3+,Graduate,No,10574,0,351.9,360.0,1.0,Semiurban,Y
LP001086,Male,Yes,0,Graduate,No,2092,4824,323.5,360.0,0.0,Urban,N
LP001087,Male,Yes,2,Graduate,No,7243,4458,426.5,300.0,1.0,Semiurban,Y
LP001088,Male,Yes,0,Graduate,Yes,3761,1010,225.4,360.0,1.0,Rural,N
LP001089,Male,Yes,1,Graduate,No,3759,4044,280.8,360.0,1.0,Semiurban,Y
LP001090,Female,Yes,0,Graduate,No,7145,2528,287.0,360.0,1.0,Urban,Y
LP001091,Male,Yes,2,Graduate,No,5453,0,290.8,360.0,1.0,Semiurban,Y
LP001092,Male,Yes,0,Graduate,No,6262,1122,233.2,360.0,1.0,Semiurban,Y
LP001093,Male,No,0,Graduate,No,7949,0,300.4,360.0,1.0,Urban,Y
LP001094,Male,Yes,0,Graduate,No,3645,8390,320.8,360.0,1.0,Semiurban,Y
LP001095,Male,No,0,Not Graduate,No,3079,1999,208.0,360.0,1.0,Urban,Y
LP001096,Male,Yes,2,Graduate,No,2319,3454,236.1,360.0,0.0,Semiurban,N
LP001097,Male,No,0,Not Graduate,No,2710,0,208.1,360.0,1.0,Urban,Y
LP001098,Male,No,0,Graduate,No,26093,1157,426.3,360.0,0.0,Rural,N
LP001099,Male,Yes,0,Graduate,Yes,9384,0,326.2,360.0,1.0,Rural,Y
LP001100,Male,Yes,0,Graduate,No,1977,776,137.7,60.0,1.0,Rural,Y
LP001101,Male,Yes,2,Graduate,No,2011,0,122.5,360.0,1.0,Rural,Y
LP001102,Male,Yes,1,Not Graduate,No,5937,0,243.4,360.0,0.0,Semiurban,N
LP001103,Male,No,0,Graduate,No,6175,2160,298.1,360.0,1.0,Semiurban,Y
LP001104,Male,No,0,Not Graduate,No,6181,1762,257.4,360.0,1.0,Urban,Y
LP001105,Male,No,1,Graduate,No,3816,0,183.8,360.0,1.0,Rural,Y
