Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Loan_to_Income_Ratio
LP001002,Male,No,0,Graduate,No,7268,4696,298.3,360.0,0.0,Semiurban,N,11964,24.9331
LP001003,Female,No,0,Graduate,No,11189,0,359.3,360.0,0.0,Rural,N,11189,32.1119
LP001004,Male,Yes,3+,Not Graduate,No,2267,6623,329.7,360.0,1.0,Rural,N,8890,37.0866
LP001005,Male,Yes,0,Graduate,No,2564,0,158.4,360.0,1.0,Semiurban,Y,2564,61.7785
LP001006,Male,No,0,Graduate,No,8189,2709,370.8,360.0,1.0,Rural,Y,10898,34.0246
LP001007,Male,No,0,Graduate,Yes,5233,2787,279.1,360.0,1.0,Rural,Y,8020,34.8005
LP001008,Male,Yes,1,Not Graduate,No,6191,1144,278.9,360.0,1.0,Urban,N,7335,38.0232
LP001009,Female,Yes,0,Graduate,No,5455,0,185.5,360.0,0.0,Rural,N,5455,34.0055
LP001010,Male,Yes,2,Graduate,No,5621,4893,362.7,360.0,1.0,Rural,Y,10514,34.4969
LP001011,Male,Yes,0,Not Graduate,No,2006,423,172.1,360.0,1.0,Urban,Y,2429,70.8522
LP001012,Male,Yes,3+,Not Graduate,No,8336,0,233.5,180.0,1.0,Semiurban,Y,8336,28.011
LP001013,Female,Yes,0,Not Graduate,No,8971,348,294.7,360.0,1.0,Rural,Y,9319,31.6236
LP001014,Female,Yes,2,Not Graduate,No,3875,1016,277.5,360.0,1.0,Urban,Y,4891,56.7369
LP001015,Male,No,2,Graduate,No,4332,6250,249.8,360.0,1.0,Semiurban,Y,10582,23.6061
LP001016,Male,Yes,2,Graduate,No,1774,1329,181.2,180.0,1.0,Urban,Y,3103,58.3951
LP001017,Male,Yes,2,Graduate,No,6054,0,300.7,360.0,1.0,Urban,Y,6054,49.6696
LP001018,Male,No,2,Not Graduate,Yes,6268,1739,320.0,360.0,1.0,Rural,N,8007,39.965
LP001019,Male,No,1,Graduate,No,4284,0,220.8,360.0,1.0,Urban,Y,4284,51.5406
LP001020,Male,Yes,0,Graduate,No,8730,554,356.2,360.0,1.0,Semiurban,N,9284,38.3671
LP001021,Male,Yes,0,Graduate,Yes,3639,957,257.4,360.0,1.0,Urban,Y,4596,56.0052
LP001022,Male,Yes,3+,Graduate,No,6240,5699,348.0,360.0,1.0,Urban,Y,11939,29.1482
LP001023,Male,Yes,1,Graduate,No,2411,0,157.7,360.0,1.0,Semiurban,Y,2411,65.4085
LP001024,Male,Yes,2,Not Graduate,No,4384,0,203.9,480.0,1.0,Urban,Y,4384,46.51
LP001025,Male,Yes,0,Not Graduate,No,4005,839,274.9,360.0,0.0,Rural,N,4844,56.7506
LP001026,Male,Yes,0,Graduate,No,5090,8665,415.9,360.0,1.0,Semiurban,N,13755,30.2363
LP001027,Male,Yes,0,Graduate,Yes,3562,6100,258.0,360.0,1.0,Urban,N,9662,26.7025
LP001028,Male,Yes,1,Graduate,Yes,4109,3213,324.7,180.0,1.0,Semiurban,Y,7322,44.3458
LP001029,Male,Yes,0,Graduate,No,7299,1131,295.7,240.0,0.0,Semiurban,N,8430,35.0771
LP001030,Male,Yes,0,Not Graduate,No,3421,0,152.3,360.0,1.0,Urban,Y,3421,44.5191
LP001031,Male,Yes,0,Graduate,No,1696,0,136.9,360.0,0.0,Semiurban,N,1696,80.7193
LP001032,Male,Yes,0,Graduate,No,12704,0,352.3,360.0,1.0,Rural,Y,12704,27.7314
LP001033,Male,No,1,Not Graduate,Yes,10187,0,385.2,360.0,1.0,Semiurban,Y,10187,37.8129
LP001034,Male,Yes,0,Graduate,No,2048,3698,212.7,180.0,0.0,Rural,N,5746,37.0171
LP001035,Female,No,2,Graduate,No,6726,939,327.4,360.0,1.0,Semiurban,Y,7665,42.7136
LP001036,Female,No,0,Graduate,No,3288,5237,249.8,360.0,1.0,Rural,N,8525,29.3021
LP001037,Female,Yes,0,Graduate,No,5208,0,186.3,360.0,1.0,Urban,Y,5208,35.7719
LP001038,Male,Yes,0,Graduate,No,5305,0,288.3,360.0,1.0,Urban,Y,5305,54.345
LP001039,Male,Yes,0,Graduate,No,3863,0,203.2,360.0,1.0,Semiurban,Y,3863,52.6016
LP001040,Male,Yes,0,Graduate,No,2778,0,154.8,360.0,1.0,Urban,Y,2778,55.7235
LP001041,Male,No,0,Not Graduate,No,2938,1948,224.0,360.0,1.0,Semiurban,Y,4886,45.8453
LP001042,Male,Yes,1,Graduate,No,2566,0,191.8,360.0,1.0,Rural,Y,2566,74.7467
LP001043,Male,Yes,0,Graduate,Yes,2699,666,171.6,360.0,0.0,Urban,N,3365,50.9955
LP001044,Male,Yes,1,Graduate,No,4271,0,182.3,360.0,1.0,Urban,Y,4271,42.6832
LP001045,Female,Yes,2,Graduate,No,2894,11592,324.2,36.0,1.0,Rural,Y,14486,22.3802
LP001046,Male,No,2,Graduate,Yes,6695,551,250.8,300.0,0.0,Semiurban,N,7246,34.6122
LP001047,Male,Yes,0,Graduate,No,10854,0,382.4,360.0,0.0,Rural,N,10854,35.2313
LP001048,Male,Yes,0,Graduate,No,3139,3128,253.9,360.0,1.0,Urban,Y,6267,40.5138
